Frame,Timestamp,VehicleID,RiskType,X,Y
6,0.166666666666667,80,Lane Change,644.506767731456,541.762858689767
6,0.166666666666667,80,Lane Change,644.506767731456,541.762858689767
6,0.166666666666667,81,Lane Change,635.389972144847,882.927576601671
6,0.166666666666667,81,Lane Change,635.389972144847,882.927576601671
6,0.166666666666667,65,Lane Change,715.134755210858,459.600581677169
6,0.166666666666667,65,Lane Change,715.134755210858,459.600581677169
6,0.166666666666667,82,Lane Change,769.00182239894,695.597415506958
6,0.166666666666667,82,Lane Change,769.00182239894,695.597415506958
6,0.166666666666667,83,Lane Change,682.596273291926,402.405797101449
6,0.166666666666667,83,Lane Change,682.596273291926,402.405797101449
6,0.166666666666667,84,Lane Change,742.396757272294,365.064854554125
6,0.166666666666667,84,Lane Change,742.396757272294,365.064854554125
